697	CLO_0001008	CL_0000817	UBERON_0002371	BTO_0001969	CL
1552	-	CL_0000034	UBERON_0000955	-	-
1919	-	CL_0000034	UBERON_0000955	-	-
1953	-	CL_0000034	UBERON_0000955	-	-
2097	-	-	UBERON_0000955	-	-
2229	-	CL_0000034	UBERON_0000955	-	-
2235	-	CL_0000034	UBERON_0000955	-	-
2455	-	-	UBERON_0000955	-	-
2489	-	-	UBERON_0000955	-	-
2566	-	-	UBERON_0000955	-	-
2647	-	-	UBERON_0000955	-	-
3094	-	CL_0000034	UBERON_0000955	-	-
3565	-	CL_0000034	UBERON_0000955	-	-
3679	-	CL_0000034	UBERON_0000955	-	-
3752	-	CL_0000034	UBERON_0000955	-	-
5637	CLO_0001421	CL_1001319	UBERON_0001255	BTO_0003137	CL
15425	-	CL_0000192	UBERON_0000995	-	CL
12364284	-	CL_1000497	UBERON_0002113	-	-
1_H1_ESCs_with_99_fibroblsat	CLO_0037281	CL_0002322	UBERON_0000922	BTO_0006080	CL
1015_CL	-	-	UBERON_0002048	-	-
1015_PT	-	-	UBERON_0002048	-	-
10964C	-	CL_0000192	UBERON_0000995	-	CL
10T1/2	-	-	-	-	-
12364284_VHL-	-	CL_1000497	UBERON_0002113	-	-
12364284_VHL+	-	CL_1000497	UBERON_0002113	-	-
12Z	-	CL_0002149	UBERON_0001295	-	CL
143B	CLO_0001088	CL_0001035	UBERON_0000981	-	CL
15242A	-	CL_0000192	UBERON_0000995	-	CL
1B2C6	CLO_0050258	CL_0000083	UBERON_0001264	-	CL
1C3D3	CLO_0050259	CL_0000083	UBERON_0001264	-	CL
1C3IKEI	CLO_0050257	CL_0000083	UBERON_0001264	-	CL
20431713N	-	CL_1000497	UBERON_0002113	-	-
20431713T	-	CL_1000497	UBERON_0002113	-	-
2089_H3.3K27WT	-	-	UBERON_0000955	-	-
2168_IDH1	-	-	UBERON_0000955	-	-
2223_GBM	-	-	UBERON_0000955	-	-
2229_GBM	-	-	UBERON_0000955	-	-
226LDM	-	CL_0002326	UBERON_0000310	-	CL
226LDM_normal_breast_luminal_cells	-	CL_0002326	UBERON_0000310	-	CL
22Rv1	CLO_0001200	CL_0002231	UBERON_0002367	BTO_0002999	CL
22rv1	CLO_0001200	CL_0002231	UBERON_0002367	BTO_0002999	CL
22Rv1_10nM17beta-hydroxy-5alpha-androstan-3-one	CLO_0001200	CL_0002231	UBERON_0002367	BTO_0002999	CL
22Rv1_delSite1_Clone11/12-D8	CLO_0001200	CL_0002231	UBERON_0002367	BTO_0002999	CL
22Rv1_delSite1_Clone11/12-F6	CLO_0001200	CL_0002231	UBERON_0002367	BTO_0002999	CL
22Rv1_delSite4_Clone22/23-F8	CLO_0001200	CL_0002231	UBERON_0002367	BTO_0002999	CL
22RV1_prostate_carcinoma	CLO_0001200	CL_0002231	UBERON_0002367	BTO_0002999	CL
22RV1_prostate_carcinoma_DHT	CLO_0001200	CL_0002231	UBERON_0002367	BTO_0002999	CL
22rv1-arfl-arvs	CLO_0001200	CL_0002231	UBERON_0002367	BTO_0002999	CL
22rv1-arvs	CLO_0001200	CL_0002231	UBERON_0002367	BTO_0002999	CL
22RV1-DHT-DMSO_6h	CLO_0001200	CL_0002231	UBERON_0002367	BTO_0002999	CL
293 HEK	CLO_0001230	CL_0002518	UBERON_0002113	BTO_0000007	CL
293T	CLO_0037372	CL_0002518	UBERON_0002113	BTO_0002181	CL
293T_2_high	CLO_0037372	CL_0002518	UBERON_0002113	BTO_0002181	CL
293T_2_low	CLO_0037372	CL_0002518	UBERON_0002113	BTO_0002181	CL
293T_sciCAR	CLO_0037372	CL_0002518	UBERON_0002113	BTO_0002181	CL
293T-Rex	CLO_0037238	CL_0002518	UBERON_0002113	BTO_0005238	CL
293Trex_B4Nflag_2h	CLO_0037238	CL_0002518	UBERON_0002113	BTO_0005238	CL
293Trex_B4Nflag_7h	CLO_0037238	CL_0002518	UBERON_0002113	BTO_0005238	CL
