Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
left ventricle_DCM_LV1009,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
Fetal_Kidney,A,-,-,kidney cell,-,kidney,kidney,kidney,kidney
Fetal Brain Male,A,-,-,neural cell,-,brain,brain,brain,brain
liver,A,-,-,hepatocyte,-,liver,liver,liver,liver
heart adult diseased post-infarction donor1,A,-,-,cardiocyte,-,heart,heart,-,heart
germinal matrix,A,-,-,neural cell,-,brain,germinal neuroepithelium,-,-
submaxillary gland adult,A,-,-,secretory cell,-,submandibular gland,submandibular gland,submandibular gland,submandibular gland
Skin_Sun_Exposed_Lower_leg,A,-,-,epithelial cell,-,skin epidermis,lower leg skin,-,leg
testis adult pool2,A,-,-,-,-,testis,testis,testis,testis
Brain Hippocampus Middle 150,A,-,-,neural cell,-,hippocampal formation,-,hippocampus,hippocampus
TE7_1,CL,TE7 cell,TE7 cell,squamous epithelial cell,-,esophagus,-,-,hybridoma cell line
VCaP_prostate_carcinoma_SH3_DHT,CL,VCaP cell,VCaP cell,epithelial cell of prostate,-,prostate gland,prostate gland,VCaP cell,VCaP cell
hMSC-TERT,CL,-,RCB2079 cell,mesenchymal stem cell,mesenchymal stem cell of umbilical cord,bone marrow,mesenchyme of umbilical cord,-,umbilical cord cell line
HeLaS3,CL,HeLa S3 cell,HELA-S3 cell,epithelial cell of cervix,uterine cervix secretory cell,uterine cervix,cervix epithelium,HeLa-S3 cell,HeLa-S3 cell
A549 DMSO,CL,A549 cell,A549 cell,epithelial cell of lung,lung secretory cell,lung,lung,A-549 cell,A549-CR cell
HCT116 TP53-/-_Nutlin3A,CL,HCT 116 cell,HCT 116 cell,colon epithelial cell,colon epithelial cell,colon,colon,HCT-116 cell,HCT-116 cell
HUVECs_TNF0min,CL,HUV-EC-C cell,HUV-EC-C cell,endothelial cell of umbilical vein,endothelial cell of umbilical vein,umbilical cord,umbilical cord,HUVEC cell,HUVEC cell
gm12891,CL,GM12891 cell,GM12891 cell,B cell,-,blood,-,-,-
PANC1_2,CL,PANC-1 cell,immortal pancreas-derived cell line cell,type B pancreatic cell,pancreatic ductal cell,pancreas,pancreas,PANC-1 cell,PANC-1 cell
GM18486,CL,GM18486 cell,GM18486 cell,B cell,-,blood,-,-,-
IMR90_#2,CL,IMR-90 cell,IMR-90 cell,fibroblast of lung,fibroblast of lung,lung,lung,IMR-90 cell,lung fibroblast cell line
T (PB),CL,-,-,T cell,T cell,blood,-,T-lymphocyte,T-lymphocyte
V389,CL,-,-,colon epithelial cell,-,colon,-,-,-
CRC_17A,CL,-,-,colon epithelial cell,-,colon,colorectum,-,colorectal cancer cell line
LY1,CL,-,-,B cell,-,blood,-,-,-
LREX,CL,-,-,epithelial cell of prostate,-,prostate gland,-,-,-
TTC549_Doxycycline,CL,-,-,-,-,liver,-,-,-
H1 hESC-derived neural progenitor cells_Smad_72hr,CL,-,H1-neuron,neural progenitor cell,neural progenitor cell,embryo,neural crest-derived structure,-,hESC cell
GLC16,CL,-,-,epithelial cell of lung,-,lung,lung,-,small cell lung cancer cell line
FLP76,CL,-,-,kidney cell,-,kidney,-,-,-
Stromal_heart_2,CT,-,-,stromal cell,stromal cell,heart,heart,-,-
Macrophages_GM-CSF_72h,CT,-,-,macrophage,macrophage,blood,-,macrophage,macrophage
Ik6pre-BALL+TET-emptyvector,CT,-,BALL-1 cell,hematopoietic cell,-,blood,-,-,BALL-1 cell
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells,CT,-,primary cultured bone marrow cell,mesenchymal stem cell of the bone marrow,mesenchymal stem cell,bone marrow,bone marrow,-,mesenchymal stem cell
ILC1,CT,-,-,group 1 innate lymphoid cell,ILC1,immune system,lymphoid tissue,-,-
DIPGIV,CT,-,-,glial cell,-,brain,-,-,-
EM CD4+ ab T (PB),CT,-,-,"CD4-positive, alpha-beta T cell",CD4-positive helper T cell,blood,-,-,-
B_B,CT,-,-,B cell,B-1b B cell,blood,-,B-lymphocyte,-
CD8 Naive 8pool,CT,-,-,"naive thymus-derived CD8-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell",thymus,thymus,-,-
Preadipocyte - subcutaneous donor2,CT,-,-,preadipocyte,subcutaneous preadipocyte,subcutaneous adipose tissue,subcutaneous adipose tissue,preadipocyte,-
CD14+ monocytes - treated with IFN + N-hexane donor2,CT,-,-,CD14-positive monocyte,CD14-positive monocyte,blood,-,monocyte,-
tamoxifen_EC5,CT,-,-,epithelial cell of uterus,type EC enteroendocrine cell,endometrium,-,-,-
Matrix_Fibrob_2_E,CT,-,-,fibroblast,-,connective tissue,-,fibroblast,-
B_C,CT,-,-,B cell,-,blood,-,B-lymphocyte,-
STAD,CT,-,-,glandular epithelial cell of stomach,-,stomach,-,gastric adenocarcinoma cell,-
pDC,CT,-,-,plasmacytoid dendritic cell,plasmacytoid dendritic cell,blood,-,plasmacytoid dendritic cell,plasmacytoid dendritic cell
astrocyte_of_the_spinal_cord,CT,-,-,astrocyte of the spinal cord,astrocyte of the spinal cord,spinal cord,spinal cord,-,-
Chondrocyte - re diff donor3,CT,-,-,chondrocyte,chondrocyte,cartilage tissue,-,chondrocyte,chondrocyte
breast_tumour_metastasis,CT,-,-,-,-,breast,breast,breast cancer cell,-
Megakaryo_adrenal,CT,-,-,megakaryocyte,megakaryocyte,adrenal gland,adrenal gland,-,megakaryocyte
