step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.84683,0.7,,
2,1.76857,0.74444,,
3,2.03796,0.7,,
4,1.82252,0.71795,,
5,1.76585,0.69048,,
6,1.84881,0.72727,,
7,1.94479,0.66667,,
8,1.63159,0.72222,,
9,1.69722,0.75556,,
10,1.74979,0.76923,,
11,1.78275,0.76389,,
12,1.95248,0.69697,,
13,1.75334,0.72619,,
14,1.92638,0.70513,,
15,1.71834,0.77273,,
16,1.90267,0.72222,,
17,1.77118,0.71795,,
18,1.60755,0.75556,,
19,2.09716,0.625,,
20,1.75479,0.72222,,
21,1.8844,0.70833,,
22,1.98937,0.7381,,
23,1.71373,0.77381,,
24,2.07276,0.69444,,
25,1.7859,0.72727,,
26,1.92155,0.6875,,
27,1.61154,0.75641,,
28,1.91713,0.64103,,
29,1.60571,0.76042,,
30,1.7068,0.75,,
31,2.07606,0.73077,,
32,1.6288,0.72619,,
33,1.7263,0.70833,,
34,1.78275,0.75641,,
35,1.64933,0.7381,,
36,1.80655,0.71795,,
37,1.78559,0.75641,,
38,1.79092,0.72619,,
39,1.77326,0.71212,,
40,2.06971,0.77273,,
41,1.56477,0.78889,,
42,1.73816,0.72619,,
43,2.0085,0.66667,,
44,1.78577,0.70833,,
45,1.52991,0.76389,,
46,1.87639,0.72222,,
47,1.7976,0.71795,,
48,1.61873,0.7,,
49,1.57294,0.7619,,
50,1.62131,0.74444,,
51,1.47806,0.74444,,
52,1.64247,0.70238,,
53,1.8138,0.71111,,
54,1.53466,0.73077,,
55,1.68896,0.70513,,
56,2.00173,0.7,,
57,1.59774,0.69048,,
58,1.53979,0.74444,,
59,1.52594,0.7619,,
60,1.64081,0.72222,,
61,1.71458,0.70513,,
62,1.67975,0.73333,,
63,1.45951,0.73333,,
64,1.89266,0.71429,,
65,1.6143,0.70238,,
66,1.59456,0.72222,,
67,1.53706,0.76042,,
68,1.48253,0.71429,,
69,1.66909,0.70513,,
70,1.49139,0.72619,,
71,1.44427,0.7381,,
72,1.26143,0.7549,,
73,1.4752,0.71667,,
74,1.33033,0.76923,,
75,1.63175,0.68966,,
76,1.45314,0.73958,,
77,1.58491,0.72619,,
78,1.45,0.71111,,
79,1.45467,0.70833,,
80,1.69941,0.7,,
81,1.42563,0.76042,,
82,1.439,0.71795,,
83,1.537,0.71795,,
84,1.54914,0.68056,,
85,1.48909,0.69231,,
86,1.40417,0.71795,,
87,1.4351,0.70238,,
88,1.42584,0.7561,,
89,1.26032,0.80208,,
90,1.33455,0.7619,,
91,1.49496,0.68056,,
92,1.15751,0.79412,,
93,1.23367,0.76042,,
94,1.43769,0.73333,,
95,1.24517,0.76923,,
96,1.42269,0.72619,,
97,1.29191,0.73077,,
98,1.40569,0.70513,,
99,1.4475,0.72222,,
100,1.56967,0.79167,1.20958,0.8
101,1.24071,0.77778,,
102,1.30982,0.75556,,
103,1.20337,0.75641,,
104,1.23407,0.73611,,
105,1.21933,0.79487,,
106,1.0748,0.80952,,
107,1.2521,0.77273,,
108,1.31361,0.70833,,
109,1.26006,0.78889,,
110,1.34546,0.76042,,
111,1.07464,0.82051,,
112,1.26329,0.7619,,
113,1.35694,0.73077,,
114,1.36292,0.77083,,
115,1.32532,0.74444,,
116,1.32772,0.73958,,
117,1.17186,0.82292,,
118,1.2531,0.75556,,
119,1.33183,0.83333,,
120,1.19172,0.79167,,
121,1.33552,0.71429,,
122,1.26117,0.77381,,
123,1.21705,0.75641,,
124,1.1368,0.75,,
125,1.14721,0.77778,,
126,1.32675,0.73077,,
127,1.25225,0.75,,
128,1.51702,0.71154,,
129,1.25553,0.77083,,
130,1.31084,0.77381,,
131,1.07876,0.82143,,
132,1.31421,0.71795,,
133,1.01434,0.82222,,
134,1.17923,0.78205,,
135,1.24641,0.76667,,
136,1.14089,0.73077,,
137,1.14999,0.77778,,
138,1.24333,0.72857,,
139,1.24701,0.74359,,
140,1.17322,0.77381,,
141,1.14464,0.72857,,
142,1.18328,0.77778,,
143,1.34611,0.77778,,
144,1.06146,0.79762,,
145,1.084,0.79167,,
146,1.21515,0.78889,,
147,1.10201,0.78571,,
148,1.32126,0.70312,,
149,1.20122,0.77778,,
150,1.08172,0.75758,,
151,1.07438,0.77381,,
152,1.20799,0.78947,,
153,1.2203,0.71795,,
154,0.92866,0.80769,,
155,1.07938,0.7619,,
156,1.01319,0.81944,,
157,1.04199,0.79762,,
158,0.87927,0.80769,,
159,1.18838,0.79167,,
160,1.14763,0.77381,,
161,0.72271,0.86905,,
162,1.06755,0.77632,,
163,1.23094,0.75,,
164,1.1989,0.77381,,
165,1.12312,0.76923,,
166,1.04455,0.77778,,
167,0.86825,0.82051,,
168,0.86665,0.80952,,
169,0.87674,0.78571,,
170,0.96498,0.80952,,
171,0.92738,0.78333,,
172,1.12675,0.77083,,
173,1.07026,0.76829,,
174,1.12167,0.74359,,
175,1.00004,0.78889,,
176,1.15546,0.75,,
177,1.00722,0.76667,,
178,0.98901,0.73077,,
179,0.92301,0.76923,,
180,1.20439,0.7,,
181,1.0873,0.77778,,
182,1.06439,0.77381,,
183,1.0777,0.75641,,
184,1.1007,0.71154,,
185,0.89589,0.77381,,
186,1.09258,0.74444,,
187,1.03461,0.77778,,
188,0.70026,0.90385,,
189,1.2004,0.71795,,
190,0.89995,0.83333,,
191,1.16118,0.75556,,
192,1.01835,0.77381,,
193,1.02059,0.77381,,
194,0.90104,0.79487,,
195,1.02166,0.71111,,
196,1.08699,0.76667,,
197,0.90608,0.76923,,
198,0.98654,0.77381,,
199,0.89615,0.83333,,
200,0.68154,0.83333,0.76299,0.80769
201,0.78017,0.83333,,
202,0.80673,0.76087,,
203,0.90562,0.79167,,
204,0.62512,0.85714,,
205,1.17185,0.75556,,
206,1.31797,0.67647,,
207,1.03003,0.76923,,
208,0.95933,0.75862,,
209,0.81122,0.85714,,
210,0.94635,0.74359,,
211,0.89593,0.75,,
212,0.84693,0.8,,
213,0.95961,0.76923,,
214,0.88221,0.74444,,
215,0.84086,0.77778,,
216,0.91087,0.79167,,
217,0.77452,0.79487,,
218,0.80823,0.78205,,
219,0.98076,0.75556,,
220,0.89601,0.79762,,
221,0.90361,0.8,,
222,0.79002,0.80556,,
223,0.88075,0.78571,,
224,0.77102,0.83333,,
225,0.83676,0.76923,,
226,0.91319,0.80556,,
227,0.77308,0.78788,,
228,0.85615,0.79762,,
229,0.82551,0.82222,,
230,0.94865,0.79167,,
231,0.93647,0.78889,,
232,0.69264,0.78788,,
233,0.66928,0.84722,,
234,0.7906,0.82292,,
235,0.93805,0.76667,,
236,0.81691,0.79762,,
237,0.88134,0.78571,,
238,0.97779,0.74444,,
239,0.86646,0.8,,
240,0.96007,0.76389,,
241,0.61435,0.86364,,
242,0.93351,0.76042,,
243,0.81087,0.80952,,
244,0.94911,0.75556,,
245,0.68988,0.81944,,
246,0.77689,0.79487,,
247,0.75976,0.82143,,
248,0.64387,0.84524,,
249,0.70146,0.79167,,
250,0.86062,0.79762,,
251,0.69286,0.84524,,
252,0.78031,0.78205,,
253,0.85358,0.78571,,
254,0.80318,0.80556,,
255,0.67392,0.80952,,
